label,message
spam,"New Mobiles from 2004, MUST GO! Txt: NOKIA to No: 89545 & collect yours today! From ONLY £1. www.4-tc.biz 2optout 087187262701.50gbp/mtmsg18 TXTAUCTION."
ham,HI DARLIN ITS KATE ARE U UP FOR DOIN SOMETHIN TONIGHT? IM GOING TO A PUB CALLED THE SWAN OR SOMETHING WITH MY PARENTS FOR ONE DRINK SO PHONE ME IF U CAN
ham,"Abeg, make profit. But its a start. Are you using it to get sponsors for the next event?"
ham,R u in this continent?
ham,"Hi Chikku, send some nice msgs"
ham,Ok... Help me ask if she's working tmr a not?
ham,Am not interested to do like that.
spam,FREE UNLIMITED HARDCORE PORN direct 2 your mobile Txt PORN to 69200 & get FREE access for 24 hrs then chrgd@50p per day txt Stop 2exit. This msg is free
ham,"I can. But it will tell quite long, cos i haven't finish my film yet..."
ham,No sir. That's why i had an 8-hr trip on the bus last week. Have another audition next wednesday but i think i might drive this time.
ham,"That's cool he'll be here all night, lemme know when you're around"
ham,How long does applebees fucking take
ham,You stayin out of trouble stranger!!saw Dave the other day hes sorted now!still with me bloke when u gona get a girl MR!ur mum still Thinks we will get 2GETHA! 
spam,Todays Vodafone numbers ending with 4882 are selected to a receive a £350 award. If your number matches call 09064019014 to receive your £350 award.
ham,CERI U REBEL! SWEET DREAMZ ME LITTLE BUDDY!! C YA 2MORO! WHO NEEDS BLOKES
ham,on a Tuesday night r u 4 real
ham,Ok leave no need to ask
spam,Married local women looking for discreet action now! 5 real matches instantly to your phone. Text MATCH to 69969 Msg cost 150p 2 stop txt stop BCMSFWC1N3XX
ham,"Height of Confidence: All the Aeronautics professors wer calld &amp; they wer askd 2 sit in an aeroplane. Aftr they sat they wer told dat the plane ws made by their students. Dey all hurried out of d plane.. Bt only 1 didnt move... He said:""if it is made by my students,this wont even start........ Datz confidence.."
ham,Da is good good player.why he is unsold.
ham,"Sorry that took so long, omw now"
ham,Me fine..absolutly fine
ham,excellent. I spent  &lt;#&gt;  years in the Air Force. Iraq and afghanistan. I am stable and honest. do you like traveling?
ham,I lost 4 pounds since my doc visit last week woot woot! Now I'm gonna celebrate by stuffing my face!
ham,Not yet. Just i'd like to keep in touch and it will be the easiest way to do that from barcelona. By the way how ru and how is the house?
ham,Lmao you know me so well...
ham,Get me out of this dump heap. My mom decided to come to lowes. BORING.
ham,Ok try to do week end course in coimbatore.
ham,"Yeah I should be able to, I'll text you when I'm ready to meet up"
spam,"Sppok up ur mob with a Halloween collection of nokia logo&pic message plus a FREE eerie tone, txt CARD SPOOK to 8007"
ham,Your account has been refilled successfully by INR  &lt;DECIMAL&gt; . Your KeralaCircle prepaid account balance is Rs  &lt;DECIMAL&gt; . Your Transaction ID is KR &lt;#&gt; .
ham,Im good! I have been thinking about you...
ham,Big brother‘s really scraped the barrel with this shower of social misfits
spam,"YOU VE WON! Your 4* Costa Del Sol Holiday or £5000 await collection. Call 09050090044 Now toClaim. SAE, TC s, POBox334, Stockport, SK38xh, Cost£1.50/pm, Max10mins"
ham,I need to come home and give you some good lovin...
ham,"Al he does is moan at me if n e thin goes wrong its my fault&al de arguments r my fault&fed up of him of himso y bother? Hav 2go, thanx.xx"
spam,We currently have a message awaiting your collection. To collect your message just call 08718723815.
ham,Guess who spent all last night phasing in and out of the fourth dimension
ham,U wake up already? Thanx 4 e tau sar piah it's quite nice.
ham,"1.20 that call cost. Which i guess isnt bad. Miss ya, need ya, want ya, love ya"
ham,Hanging out with my brother and his family
ham,"Yeah there's barely enough room for the two of us, x has too many fucking shoes. Sorry man, see you later"
ham,Your brother is a genius
spam,"FreeMsg: Claim ur 250 SMS messages-Text OK to 84025 now!Use web2mobile 2 ur mates etc. Join Txt250.com for 1.50p/wk. T&C BOX139, LA32WU. 16 . Remove txtX or stop"
spam,"Text82228>> Get more ringtones, logos and games from www.txt82228.com. Questions: info@txt82228.co.uk"
ham,Lol ... I knew that .... I saw him in the dollar store
ham,What time you coming down later? 
ham,Ü wait 4 me in sch i finish ard 5..
spam,URGENT! We are trying to contact you. Last weekends draw shows that you have won a £900 prize GUARANTEED. Call 09061701939. Claim code S89. Valid 12hrs only
ham,Goodmorning sleeping ga.
ham,Love you aathi..love u lot..
ham,Huh so early.. Then ü having dinner outside izzit?
spam,URGENT! We are trying to contact U. Todays draw shows that you have won a £800 prize GUARANTEED. Call 09050001808 from land line. Claim M95. Valid12hrs only
ham,"Haven't seen my facebook, huh? Lol!"
ham,Aiyah sorry lor... I watch tv watch until i forgot 2 check my phone.
ham,"""I;m reaching in another 2 stops."""
spam,"Last Chance! Claim ur £150 worth of discount vouchers today! Text SHOP to 85023 now! SavaMob, offers mobile! T Cs SavaMob POBOX84, M263UZ. £3.00 Sub. 16"
ham,"No, but you told me you were going, before you got drunk!"
ham,Okay... I booked all already... Including the one at bugis.
ham,I'm gonna say no. Sorry. I would but as normal am starting to panic about time. Sorry again! Are you seeing on Tuesday?
ham,"Haha, that was the first person I was gonna ask"
ham,Don't forget though that I love you .... And I walk beside you. Watching over you and keeping your heart warm.
ham,Then she dun believe wat?
ham,"The sign of maturity is not when we start saying big things.. But actually it is, when we start understanding small things... *HAVE A NICE EVENING* BSLVYL"
ham,Ron say fri leh. N he said ding tai feng cant make reservations. But he said wait lor.
ham,No..few hours before.went to hair cut .
spam,HMV BONUS SPECIAL 500 pounds of genuine HMV vouchers to be won. Just answer 4 easy questions. Play Now! Send HMV to 86688 More info:www.100percent-real.com
ham,Have a nice day my dear.
ham,"naughty little thought: 'its better to flirt, flirt n flirt, rather than loving someone n gettin hurt, hurt n hurt...:-) Gud nyt"
ham,Ay wana meet on sat?ü wkg on sat?
ham,Ok lor...
ham,Yo! Howz u? girls never rang after india. L
spam,Call 09095350301 and send our girls into erotic ecstacy. Just 60p/min. To stop texts call 08712460324 (nat rate)
ham,Maybe?! Say hi to  and find out if  got his card. Great escape or wetherspoons? 
ham,Hello! How's you and how did saturday go? I was just texting to see if you'd decided to do anything tomo. Not that i'm trying to invite myself or anything!
ham,"Jolly good! By the way,  will give u tickets for sat eve 7.30. Speak before then x"
ham,"Open rebtel with firefox. When it loads just put plus sign in the user name place, and it will show you two numbers. The lower number is my number. Once you pick that number the pin will display okay!"
ham,Hi:)cts employee how are you?
ham,Any way where are you and what doing.
ham,Thank u!
ham,I'm still pretty weak today .. Bad day ?
ham,"swhrt how u dey,hope ur ok, tot about u 2day.love n miss.take care."
ham,Dude just saw a parked car with its sunroof popped up. Sux
spam,FreeMsg: Txt: CALL to No: 86888 & claim your reward of 3 hours talk time to use from your phone now! Subscribe6GBP/mnth inc 3hrs 16 stop?txtStop
ham,Whens your radio show?
ham,Pls give her the food preferably pap very slowly with loads of sugar. You can take up to an hour to give it. And then some water. Very very slowly.
ham,"Total disappointment, when I texted you was the craziest shit got :("
ham,Thx. All will be well in a few months
ham,Ok...
ham,Argh why the fuck is nobody in town ;_;
spam,Want explicit SEX in 30 secs? Ring 02073162414 now! Costs 20p/min
ham,I asked sen to come chennai and search for job.
ham,Lolnice. I went from a fish to ..water.?
ham,Hey check it da. I have listed da.
ham,Wat makes some people dearer is not just de happiness dat u feel when u meet them but de pain u feel when u miss dem!!!
ham,Eat at old airport road... But now 630 oredi... Got a lot of pple...
ham,"Hey... Thk we juz go accordin to wat we discussed yest lor, except no kb on sun... Cos there's nt much lesson to go if we attend kb on sat..."
ham,ELLO BABE U OK?
ham,Carlos is taking his sweet time as usual so let me know when you and patty are done/want to smoke and I'll tell him to haul ass
ham,What r u cooking me for dinner?
ham,U 2.
ham,"I'm outside islands, head towards hard rock and you'll run into me"
ham,"Life is more strict than teacher... Bcoz Teacher teaches lesson &amp; then conducts exam, But Life first conducts Exam &amp; then teaches Lessons. Happy morning. . ."
spam,"Final Chance! Claim ur £150 worth of discount vouchers today! Text YES to 85023 now! SavaMob, member offers mobile! T Cs SavaMob POBOX84, M263UZ. £3.00 Subs 16"
ham,Babe ! What are you doing ? Where are you ? Who are you talking to ? Do you think of me ? Are you being a good boy? Are you missing me? Do you love me ?
ham,Ha... Then we must walk to everywhere... Cannot take tram. My cousin said can walk to vic market from our hotel 
ham,Today is ACCEPT DAY..U Accept me as? Brother Sister Lover Dear1 Best1 Clos1 Lvblefrnd Jstfrnd Cutefrnd Lifpartnr Belovd Swtheart Bstfrnd No rply means enemy
ham,"I know you are thinkin malaria. But relax, children cant handle malaria. She would have been worse and its gastroenteritis. If she takes enough to replace her loss her temp will reduce. And if you give her malaria meds now she will just vomit. Its a self limiting illness she has which means in a few days it will completely stop"
ham,hope things went well at 'doctors' ;) reminds me i still need 2go.did u c d little thing i left in the lounge?
ham,"Yes..but they said its IT.,"
spam,Do you want a new Video handset? 750 any time any network mins? UNLIMITED TEXT? Camcorder? Reply or Call now 08000930705 for del Sat AM
ham,Not yet had..ya sapna aunty manege y'day hogidhe..chinnu full weak and swalpa black agidhane..
ham,"I want to show you the world, princess :) how about europe?"
ham,Now got tv 2 watch meh? U no work today?
ham,"Erm … ill pick you up at about 6.45pm. That'll give enough time to get there, park and that."
ham,Umma my life and vava umma love you lot dear
ham,"By the way, make sure u get train to worc foregate street not shrub hill. Have fun night x"
ham,"Babe ! How goes that day ? What are you doing ? Where are you ? I sip my cappuccino and think of you, my love ... I send a kiss to you from across the sea"
ham,Miserable. They don't tell u that the side effects of birth control are massive gut wrenching cramps for the first 2 months. I didn't sleep at all last night.
ham,You said to me before i went back to bed that you can't sleep for anything.
ham,"Yo, call me when you get the chance, a friend of mine wanted me to ask you about a big order"
ham,Hi i won't b ard 4 christmas. But do enjoy n merry x'mas.
ham,S:)but he had some luck.2 catches put down:)
ham,"""Si.como no?!listened2the plaid album-quite gd&the new air1 which is hilarious-also boughtbraindancea comp.ofstuff on aphexs ;abel,u hav2hear it!c u sn xxxx"""
ham,This girl does not stay in bed. This girl doesn't need recovery time. Id rather pass out while having fun then be cooped up in bed
ham,Check wid corect speling i.e. Sarcasm
ham,"Erm... Woodland avenue somewhere. Do you get the parish magazine, his telephone number will be in there."
ham,Oh ok no prob..
ham,Where are you ? What are you doing ? Are yuou working on getting the pc to your mom's ? Did you find a spot that it would work ? I need you
ham,Ok set let u noe e details later...
spam,"Auction round 4. The highest bid is now £54. Next maximum bid is £71. To bid, send BIDS e. g. 10 (to bid £10) to 83383. Good luck."
ham,Thanks for your message. I really appreciate your sacrifice. I'm not sure of the process of direct pay but will find out on my way back from the test tomorrow. I'm in class now. Do have a wonderful day.
ham,"aight we can pick some up, you open before tonight?"
ham,"My sister in law, hope you are having a great month. Just saying hey. Abiola"
ham,Wishing you a beautiful day. Each moment revealing even more things to keep you smiling. Do enjoy it.
ham,Can i get your opinion on something first?
ham,"HELLOGORGEOUS, HOWS U? MY FONE WAS ON CHARGE LST NITW WEN U TEXD ME. HOPEU AD A NICE WKEND AS IM SURE U DID LOOKIN 4WARD 2 C-IN U 2MRW LUV JAZ"
ham,K.k:)apo k.good movie.
ham,"Save yourself the stress. If the person has a dorm account, just send your account details and the money will be sent to you."
spam,"Congrats 2 mobile 3G Videophones R yours. call 09063458130 now! videochat wid ur mates, play java games, Dload polypH music, noline rentl. bx420. ip4. 5we. 150p"
ham,I will treasure every moment we spend together...
ham,"Can you tell Shola to please go to college of medicine and visit the academic department, tell the academic secretary what the current situation is and ask if she can transfer there. She should ask someone to check Sagamu for the same thing and lautech. Its vital she completes her medical education in Nigeria. Its less expensive much less expensive. Unless she will be getting citizen rates in new zealand."
ham,Shall i get my pouch?
ham,have got * few things to do. may be in * pub later.
ham,"Cool, I'll text you in a few"
ham,"Love isn't a decision, it's a feeling. If we could decide who to love, then, life would be much simpler, but then less magical"
ham,I am going to sleep. I am tired of travel.
ham,How are you enjoying this semester? Take care brother.
ham,Ill be at yours in about 3 mins but look out for me
ham,I dont know oh. Hopefully this month.
ham,"Machan you go to gym tomorrow,  i wil come late goodnight."
ham,I'm in a movie. Call me 4 wat?
ham,S:)8 min to go for lunch:)
ham,"A famous quote : when you develop the ability to listen to 'anything' unconditionally without losing your temper or self confidence, it means you are ......... 'MARRIED'"
ham,Wait 2 min..stand at bus stop
ham,I sent you  &lt;#&gt;  bucks
ham,Come to my home for one last time i wont do anything. Trust me.
ham,What's up my own oga. Left my phone at home and just saw ur messages. Hope you are good. Have a great weekend.
ham,Wif my family booking tour package.
ham,I didn't get the second half of that message
ham,I.ll hand her my phone to chat wit u
ham,"Ok thats cool. Its , just off either raglan rd or edward rd. Behind the cricket ground. Gimme ring when ur closeby see you tuesday."
ham,I'm in chennai velachery:)
ham,Lol I was gonna last month. I cashed some in but I left &lt;#&gt; just in case. I was collecting more during the week cause they announced it on the blog.
ham,THIS IS A LONG FUCKIN SHOWR
ham,I love you both too :-)
ham,K. I will sent it again
ham,How do friends help us in problems? They give the most stupid suggestion that Lands us into another problem and helps us forgt the previous problem
ham,"Sorry to trouble u again. Can buy 4d for my dad again? 1405, 1680, 1843. All 2 big 1 small, sat n sun. Thanx."
ham,I cant pick the phone right now. Pls send a message
ham,You still at grand prix?
ham,Oh ho. Is this the first time u use these type of words
ham,That seems unnecessarily affectionate
ham,Its just the effect of irritation. Just ignore it
ham,He is world famamus....
ham,Finished class where are you.
ham,When u wana see it then
ham,Baaaaabe! I misss youuuuu ! Where are you ? I have to go and teach my class at 5 ...
ham,Don know..he is watching film in computer..
ham,Gr8. So how do you handle the victoria island traffic. Plus when's the album due
ham,"Yes, i'm small kid.. And boost is the secret of my energy.."
ham,Am okay. Will soon be over. All the best
ham,Cant think of anyone with * spare room off * top of my head
ham,No. Its not specialisation. Can work but its slave labor. Will look for it this month sha cos no shakara 4 beggar.
ham,Try neva mate!!
ham,Wot u up 2? Thout u were gonna call me!! Txt bak luv K
ham,If u dun drive then how i go 2 sch.
ham,"Haha... Where got so fast lose weight, thk muz go 4 a month den got effect... Gee,later we go aust put bk e weight."
spam,CLAIRE here am havin borin time & am now alone U wanna cum over 2nite? Chat now 09099725823 hope 2 C U Luv CLAIRE xx Calls£1/minmoremobsEMSPOBox45PO139WA
ham,Convey my regards to him
ham,"Aight, sounds good. When do you want me to come down?"
ham,Hi its me you are probably having too much fun to get this message but i thought id txt u cos im bored! and james has been farting at me all night
ham,Smile in Pleasure Smile in Pain Smile when trouble pours like Rain Smile when sum1 Hurts U Smile becoz SOMEONE still Loves to see u Smiling!!
ham,Ü only send me the contents page...
ham,So u workin overtime nigpun?
spam,Dear 0776xxxxxxx U've been invited to XCHAT. This is our final attempt to contact u! Txt CHAT to 86688 150p/MsgrcvdHG/Suite342/2Lands/Row/W1J6HL LDN 18yrs 
ham,"Alright, we're all set here, text the man"
ham,"Just sent again. Do you scream and moan in bed, princess?"
ham,Not planned yet :)going to join company on jan 5 only.don know what will happen after that.
ham,Pls help me tell sura that i'm expecting a battery from hont. And that if should pls send me a message about how to download movies. Thanks
ham,Heart is empty without love.. Mind is empty without wisdom.. Eyes r empty without dreams &amp; Life is empty without frnds.. So Alwys Be In Touch. Good night &amp; sweet dreams
ham,Ok... But they said i've got wisdom teeth hidden inside n mayb need 2 remove.
ham,Alex says he's not ok with you not being ok with it
ham,Din i tell u jus now 420
spam,"Congrats! 2 mobile 3G Videophones R yours. call 09063458130 now! videochat wid your mates, play java games, Dload polyPH music, noline rentl."
ham,I havent add ü yet right.. 
ham,East coast
ham,No but the bluray player can
ham,Ok pa. Nothing problem:-)
ham,Yup n her fren lor. I'm meeting my fren at 730.
ham,"Haha awesome, I might need to take you up on that, what you doin tonight?"
ham,Sorry to be a pain. Is it ok if we meet another night? I spent late afternoon in casualty and that means i haven't done any of y stuff42moro and that includes all my time sheets and that. Sorry. 
ham,Lol I know! They're so dramatic. Schools already closed for tomorrow. Apparently we can't drive in the inch of snow were supposed to get.
ham,Hello which the site to download songs its urgent pls
ham,"A gram usually runs like  &lt;#&gt; , a half eighth is smarter though and gets you almost a whole second gram for  &lt;#&gt;"
ham,Oh unintentionally not bad timing. Great. Fingers  the trains play along! Will give fifteen min warning.
ham,"Aight yo, dats straight dogg"
ham,Mm that time you dont like fun
ham,"Ah, well that confuses things, doesnt it? I thought was friends with now. Maybe i did the wrong thing but i already sort of invited -tho he may not come cos of money."
ham,Hello! How r u? Im bored. Inever thought id get bored with the tv but I am. Tell me something exciting has happened there? Anything! =/
ham,Its a part of checking IQ
ham,Did you get any gift? This year i didnt get anything. So bad
spam,New TEXTBUDDY Chat 2 horny guys in ur area 4 just 25p Free 2 receive Search postcode or at gaytextbuddy.com. TXT ONE name to 89693
ham,Its good to hear from you
spam,"Bears Pic Nick, and Tom, Pete and ... Dick. In fact, all types try gay chat with photo upload call 08718730666 (10p/min). 2 stop texts call 08712460324"
ham,What Today-sunday..sunday is holiday..so no work..
ham,"Yar lor he wan 2 go c horse racing today mah, so eat earlier lor. I ate chicken rice. U?"
ham,Then why no one talking to me
ham,What time is ur flight tmr?
ham,Lol alright i was thinkin that too haha
ham,Arun can u transfr me d amt
ham,"It could work, we'll reach a consensus at the next meeting"
ham,How i noe... She's in da car now... Later then c lar... I'm wearing shorts...
ham,Hasn't that been the pattern recently crap weekends?
ham,"Hi, wlcome back, did wonder if you got eaten by a lion or something, nothing much"
ham,Oh k. . I will come tomorrow
ham,So that means you still think of teju
spam,"FREE2DAY sexy St George's Day pic of Jordan!Txt PIC to 89080 dont miss out, then every wk a saucy celeb!4 more pics c PocketBabe.co.uk 0870241182716 £3/wk"
ham,Not getting anywhere with this damn job hunting over here!
spam,"Update_Now - Xmas Offer! Latest Motorola, SonyEricsson & Nokia & FREE Bluetooth! Double Mins & 1000 Txt on Orange. Call MobileUpd8 on 08000839402 or call2optout/F4Q="
ham,Same as kallis dismissial in 2nd test:-).
ham,"My friend just got here and says he's upping his order by a few grams (he's got $ &lt;#&gt; ), when can you get here?"
ham,says the  &lt;#&gt;  year old with a man and money. I'm down to my last  &lt;#&gt; . Still waiting for that check.
ham,You can jot down things you want to remember later.
ham,Great. I was getting worried about you. Just know that a wonderful and caring person like you will have only the best in life. Know that u r wonderful and God's love is yours.
ham,Send me the new number
ham,"Sir, i am waiting for your call."
ham,Webpage s not available!
ham,So how many days since then?
ham,Ok. She'll be ok. I guess
ham,I think its far more than that but find out. Check google maps for a place from your dorm.
ham,K k:) sms chat with me.
ham,I anything lor...
ham,You do got a shitload of diamonds though
ham,Can you say what happen
ham,So i asked how's anthony. Dad. And your bf
ham,Reverse is cheating. That is not mathematics.
spam,You have an important customer service announcement. Call FREEPHONE 0800 542 0825 now!
ham,HI DARLIN HOW WAS WORK DID U GET INTO TROUBLE? IJUST TALKED TO YOUR MUM ALL MORNING! I HAD A REALLY GOOD TIME LAST NIGHT IM GOIN OUT SOON BUT CALL ME IF U CAN
spam,Congratulations ur awarded either a yrs supply of CDs from Virgin Records or a Mystery Gift GUARANTEED Call 09061104283 Ts&Cs www.smsco.net £1.50pm approx 3mins
ham,Yes.i'm in office da:)
ham,Boy you best get yo ass out here quick
ham,"Theoretically yeah, he could be able to come"
ham,Nooooooo I'm gonna be bored to death all day. Cable and internet outage.
spam,"January Male Sale! Hot Gay chat now cheaper, call 08709222922. National rate from 1.5p/min cheap to 7.8p/min peak! To stop texts call 08712460324 (10p/min)"
ham,"Honeybee Said: *I'm d Sweetest in d World* God Laughed &amp; Said: *Wait,U Havnt Met d Person Reading This Msg* MORAL: Even GOD Can Crack Jokes! GM+GN+GE+GN:)"
spam,Someone U know has asked our dating service 2 contact you! Cant Guess who? CALL 09058091854 NOW all will be revealed. PO BOX385 M6 6WU
ham,Eh u remember how 2 spell his name... Yes i did. He v naughty make until i v wet.
spam,Boltblue tones for 150p Reply POLY# or MONO# eg POLY3 1. Cha Cha Slide 2. Yeah 3. Slow Jamz 6. Toxic 8. Come With Me or STOP 4 more tones txt MORE
ham,I got a call from a landline number. . . I am asked to come to anna nagar . . . I will go in the afternoon
ham,Esplanade lor. Where else...
ham,"You have come into my life and brought the sun ..Shiny down on me, warming my heart. Putting a constant smile on my face ... Making me feel loved and cared for"
ham,You bad girl. I can still remember them
ham,ALSO TELL HIM I SAID HAPPY BIRTHDAY
spam,GSOH? Good with SPAM the ladies?U could b a male gigolo? 2 join the uk's fastest growing mens club reply ONCALL. mjzgroup. 08714342399.2stop reply STOP. msg@£1.50rcvd
ham,ok. I am a gentleman and will treat you with dignity and respect.
ham,2 and half years i missed your friendship:-)
ham,"K I'm leaving soon, be there a little after 9"
ham,I will lick up every drop :) are you ready to use your mouth as well?
ham,Not directly behind... Abt 4 rows behind ü...
ham,I‘m parked next to a MINI!!!! When are you coming in today do you think?
ham,May i call You later Pls
ham,Bring home some Wendy =D
ham,Good Morning my Dear........... Have a great &amp; successful day.
ham,At what time are you coming.
ham,Wait  &lt;#&gt;  min..
ham,The evo. I just had to download flash. Jealous?
ham,"Yep, by the pretty sculpture"
ham,That sucks. So what do you got planned for your yo valentine? I am your yo valentine aren't I?
ham,I love working from home :)
spam,dating:i have had two of these. Only started after i sent a text to talk sport radio last week. Any connection do you think or coincidence?
ham,"I got arrested for possession at, I shit you not,  &lt;TIME&gt;  pm"
ham,All day working day:)except saturday and sunday..
ham,Ü all write or wat..
ham,"Sure thing big man. i have hockey elections at 6, shouldn‘t go on longer than an hour though"
ham,I think you should go the honesty road. Call the bank tomorrow. Its the tough decisions that make us great people.
ham,Hey mr whats the name of that bill brison book the one about language and words 
ham,Understand. his loss is my gain :) so do you work? School?
ham,Hai ana tomarrow am coming on morning.  &lt;DECIMAL&gt;  ill be there in sathy then we ll go to RTO office. Reply me after came to home.
ham,"[…] anyway, many good evenings to u! s"
ham,Thought we could go out for dinner. I'll treat you! Seem ok?
spam,88066 FROM 88066 LOST 3POUND HELP
ham,How much for an eighth?
ham,"Customer place, i wil cal u sir."
ham,Hi dear we saw dear. We both are happy. Where you my battery is low
ham,Not..tel software name..
ham,"I have 2 sleeping bags, 1 blanket and paper and  phone details. Anything else?"
spam,Urgent! Please call 09061213237 from a landline. £5000 cash or a 4* holiday await collection. T &Cs SAE PO Box 177 M227XY. 16+
spam,Do you want a New Nokia 3510i colour phone DeliveredTomorrow? With 300 free minutes to any mobile + 100 free texts + Free Camcorder reply or call 08000930705.
ham,"Beautiful Truth against Gravity.. Read carefully: ""Our heart feels light when someone is in it.. But it feels very heavy when someone leaves it.."" GOODMORNING"
ham,Fuck cedar key and fuck her (come over anyway tho)
spam,You have WON a guaranteed £1000 cash or a £2000 prize. To claim yr prize call our customer service representative on 08714712394 between 10am-7pm
spam,Camera - You are awarded a SiPix Digital Camera! call 09061221066 fromm landline. Delivery within 28 days
ham,Yes I know the cheesy songs from frosty the snowman :)
ham,Re your call; You didn't see my facebook huh?
ham,"""CHA QUITEAMUZING THATSCOOL BABE,PROBPOP IN & CU SATTHEN HUNNY 4BREKKIE! LOVE JEN XXX. PSXTRA LRG PORTIONS 4 ME PLEASE """
ham,"Yup, leaving right now, be back soon"
ham,Ah you see. You have to be in the lingo. I will let you know wot on earth it is when has finished making it!
ham,I.ll post her out l8r. In class
spam,"Latest News! Police station toilet stolen, cops have nothing to go on!"
